id,LOCATION,AGE,HEIGHT,WEIGHT,WINGSPAN,X0.10M,X0.30M,X0.40M,X30.40M,TRIPLE.BROAD.JUMP,SINGLE.BROAD.JUMP,ABSOLUTE.6SEC.PEAK.POWER,RELATIVE.6SEC.PEAK.POWER,UB.PUSH,UB.PULL,LB.PUSH,CONCEPT.TOTAL,ARM.LEG.BIKE,NA.,HEIGHT.1,WEIGHT.1,WINGSPAN.1,X0.10M.1,X0.30M.1,X0.40M.1,X30.40M.1,TRIPLE.BROAD.JUMP.1,SINGLE.BROAD.JUMP.1,ABSOLUTE.6SEC.PEAK.POWER.1,RELATIVE.6SEC.PEAK.POWER.1,UB.PUSH.1,UB.PULL.1,LB.PUSH.1,CONCEPT.TOTAL.1,ARM.LEG.BIKE.1,CUMULATIVE..PHYSICAL.TESTS.
50,Quebec,16.3,183.1,73,185.5,1.83,4.27,5.42,1.15,8.45,2.73,1215,16.64383562,359,471,768,1598,71,#N/A,0.312560285,-0.370520316,-0.176057537,-0.921691057,-0.311448897,-0.217767518,-0.017997178,0.038873103,0.062061316,-0.209712541,0.135087429,-0.363729789,-0.253360486,0.072977751,-0.136584293,-0.270651518,-0.09020856
51,BC,16,168.5,73.2,179,1.61,3.98,5.07,1.09,8.5,2.66,889,12.14480874,268,353,403,1024,64,#N/A,-1.553229616,-0.354063237,-0.90030835,1.107652743,0.656777845,0.493227177,0.24013377,0.096106765,-0.211508718,-1.485298185,-1.649456283,-1.335079268,-1.176251998,-1.836176055,-1.629396117,-1.676111925,-0.873126077
52,Quebec,16.1,180.1,84.1,185.2,1.77,4.17,5.21,1.04,8.63,2.75,1340,15.9334126,452,578,982,2012,76,#N/A,-0.070821202,0.54284757,-0.209484498,-0.368233657,0.024702521,0.208829299,0.455242893,0.244914285,0.140224184,0.279392385,-0.146702601,0.628968031,0.583498766,1.192317242,0.940112736,0.733248772,0.396080498
53,Quebec,17.4,192,73.8,207,1.66,4.02,5.14,1.12,9.13,2.97,1189,16.11111111,318,419,722,1459,67,#N/A,1.449925362,-0.304692,2.219541304,0.646438243,0.526439688,0.351028238,0.111068296,0.817250903,1.000015722,-0.311446365,-0.076218303,-0.801370763,-0.660058441,-0.167627934,-0.498084021,-1.073771751,-0.095958987
54,ATLANTIC,20.9,186.6,91.4,197.9,1.63,3.91,4.97,1.06,9.86,3.14,1796,19.64989059,553,690,1006,2249,74,#N/A,0.759838686,1.143530955,1.205590166,0.923166943,0.896961069,0.696368519,0.369199244,1.652862364,1.664400093,2.063647151,1.327442277,1.707059212,1.459463591,1.317850643,1.556482775,0.331688656,1.112968918
55,BC,17,173.5,67,177,1.5,3.92,5.08,1.16,8.76,2.77,888,13.25373134,343,484,598,1425,67,#N/A,-0.914260472,-0.864232687,-1.123154754,2.122324643,0.868096574,0.472913043,-0.061019002,0.393721806,0.218387051,-1.489211025,-1.209600974,-0.53451651,-0.151685998,-0.816217173,-0.586508414,-1.073771751,-0.400649258
56,AB,16.5,193,89.4,207,1.73,4.16,5.33,1.17,8.86,2.93,1270,14.20581655,391,595,917,1903,75,#N/A,1.577719191,0.978960164,2.219541304,0.000737943,0.0699685,-0.034940311,-0.104040827,0.508189129,0.843689988,0.005493627,-0.83195538,-0.022156345,0.716457713,0.852330948,0.656634533,0.532468714,0.166079337
57,BC,15,181.5,80.7,190.5,1.49,3.94,5.09,1.15,9.45,2.89,1413,17.50929368,442,546,838,1826,74,#N/A,0.108090159,0.263077227,0.381058472,2.214567543,0.806027359,0.452598909,-0.017997178,1.183546338,0.687364254,0.565029661,0.478372275,0.52222633,0.333223102,0.439116837,0.456379288,0.331688656,0.580517093
58,Quebec,20.2,176.6,77,178.8,1.68,3.99,5.06,1.07,8.88,2.88,1464,19.01298701,363,483,889,1735,76,#N/A,-0.518099603,-0.041378735,-0.92259299,0.461952443,0.642999531,0.513541311,0.326177419,0.531082594,0.64828282,0.76458447,1.074813807,-0.321033108,-0.159507112,0.705875314,0.219713999,0.733248772,0.614480097
59,ATLANTIC,25.2,176.5,88.1,189.7,1.88,4.39,5.58,1.19,7.8,2.49,1468,16.66288309,517,724,861,2102,73,#N/A,-0.530878986,0.871989151,0.291919911,-1.382905557,-0.691284598,-0.542793665,-0.190084476,-0.7051645,-0.875893089,0.780235828,0.142642628,1.322789088,1.725381484,0.559419679,1.174177308,0.130908598,0.039954074
60,Quebec,20.3,188.4,69,176.5,1.69,4.15,5.31,1.16,8.88,2.97,1230,17.82608696,374,479,797,1650,69,#N/A,0.989867578,-0.699661897,-1.178866355,0.369709543,0.107675962,0.005687958,-0.061019002,0.531082594,1.000015722,-0.15101995,0.604028659,-0.203617237,-0.19079157,0.224663943,-0.001346985,-0.672211635,0.093448118
61,AB,16.8,175.5,63.2,186.5,1.81,4.16,5.23,1.07,8.3,2.68,870,13.76582278,263,373,623,1259,70,#N/A,-0.658672814,-1.176917188,-0.064634335,-0.737205257,0.07480185,0.168201031,0.326177419,-0.132827882,-0.133345851,-1.559642134,-1.006479369,-1.388450119,-1.019829708,-0.685453213,-1.018227513,-0.471431577,-0.492153062
62,AB,17.5,179,74.6,179,1.67,3.96,5.03,1.07,8.99,2.92,1310,17.56032172,359,521,632,1512,74,#N/A,-0.211394413,-0.238863684,-0.90030835,0.554195343,0.74401417,0.574483714,0.326177419,0.65699665,0.804608554,0.162007203,0.498612598,-0.363729789,0.137695239,-0.638378188,-0.360245995,0.331688656,0.340307125
63,AB,19.4,184,83.9,189,1.85,4.4,5.6,1.2,7.37,2.41,1170,13.94517282,441,474,689,1604,77,#N/A,0.427574731,0.526390491,0.213923669,-1.106176857,-0.723424702,-0.583421933,-0.2331063,-1.19737399,-1.188544558,-0.385790314,-0.935339988,0.51155216,-0.229897143,-0.340236361,-0.120979988,0.93402883,-0.380617414
64,Quebec,17.1,178.5,80.5,188,1.72,4.01,5.13,1.12,8.85,2.92,1402,17.41614907,376,432,810,1618,73,#N/A,-0.275291328,0.246620148,0.102500467,0.092980843,0.576898975,0.371342372,0.111068296,0.496742397,0.804608554,0.521988427,0.441426367,-0.182268897,-0.558383952,0.292661202,-0.084569944,0.130908598,0.271169958
65,BC,24,182.5,85.4,202,1.65,4.01,5.1,1.09,8.35,2.75,1287,15.07025761,509,653,714,1876,74,#N/A,0.235883988,0.649818584,1.662425294,0.738681143,0.580000582,0.432284775,0.24013377,-0.07559422,0.140224184,0.072011896,-0.489073932,1.237395727,1.170082354,-0.209472401,0.586415161,0.331688656,0.157144088
66,AB,21.1,175.5,74.1,190,1.63,4,5.1,1.1,9.51,2.94,1330,17.94871795,404,530,897,1831,73,#N/A,-0.658672814,-0.280006381,0.325346871,0.923166943,0.616576548,0.432284775,0.197111945,1.252226732,0.882771421,0.240263991,0.65267037,0.116607866,0.20808527,0.747719781,0.469382876,0.130908598,0.58749467
67,BC,14,171.5,65.5,176.5,1.53,3.97,5.11,1.14,8.55,2.6,1247,19.03816794,342,397,646,1385,70,#N/A,-1.16984813,-0.98766078,-1.178866355,1.845595943,0.720249989,0.411970641,0.025024647,0.153340427,-0.44599732,-0.08450168,1.084801847,-0.54519068,-0.83212296,-0.565150371,-0.690537113,-0.471431577,0.097628845
